Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	
ACDC	2400	39	2	
ACDC	2400	40	2	
ACDC	2400	41	2	98,8
ACDC	2400	42	2	78,0
ACDC	2400	55	2	
ACDC	2400	56	2	
ACDC	2400	57	2	
ACDC	2400	58	2	
ACDC	2400	59	2	119,54
ACDC	2400	59	2	52,81999999999999
ACDC	2400	59	2	58,38
ACDC	2400	59	2	108,41999999999999
ACDC	2400	60	2	80,61999999999999
ACDC	2400	60	2	111,2
ACDC	2400	72	2	
ACDC	2400	73	2	
ACDC	2400	74	2	
ACDC	2400	75	2	
ACDC	2400	76	2	
ACDC	2400	88	2	129,54
ACDC	2400	88	2	129,54
ACDC	2400	89	2	
ACDC	2400	90	2	
ACDC	2400	91	2	147,0
ACDC	2400	105	2	117,5
ACDC	2400	105	2	117,5
ACDC	2400	106	2	48,26
ACDC	2400	106	2	48,26
ACDC	2400	109	2	
ACDC	2400	110	2	
ACDC	2400	112	2	
ACDC	2400	113	2	114,82400000000001
ACDC	2400	122	2	5,9
ACDC	2400	122	2	5,9
ACDC	2400	123	2	80,15
ACDC	2400	125	2	65,4
ACDC	2400	126	2	
ACDC	2400	127	2	
ACDC	2400	128	2	221,19
ACDC	2400	129	2	
ACDC	2400	130	2	
ACDC	2400	141	2	
ACDC	2400	142	2	
ACDC	2400	143	2	
ACDC	2400	144	2	
ACDC	2400	145	2	
ACDC	2400	146	2	
ACDC	2400	147	2	70,0
ACDC	2400	148	2	118,18181818181817
ACDC	2400	157	2	
ACDC	2400	158	2	
ACDC	2400	159	2	
ACDC	2400	160	2	
ACDC	2400	161	2	
ACDC	2400	162	2	
ACDC	2400	163	2	
ACDC	2400	164	2	
ACDC	2400	165	2	
ACDC	2400	166	2	
ACDC	2400	174	2	16,52
ACDC	2400	174	2	11,8
ACDC	2400	175	2	
ACDC	2400	176	2	
ACDC	2400	177	2	
ACDC	2400	178	2	
ACDC	2400	179	2	
ACDC	2400	180	2	
ACDC	2400	181	2	
ACDC	2400	182	2	
ACDC	2400	183	2	
ACDC	2400	184	2	
ACDC	2400	185	2	
ACDC	2400	192	2	
ACDC	2400	193	2	
ACDC	2400	194	2	
ACDC	2400	195	2	
ACDC	2400	196	2	
ACDC	2400	197	2	
ACDC	2400	198	2	99,99
ACDC	2400	199	2	
ACDC	2400	200	2	212,1
ACDC	2400	201	2	
ACDC	2400	202	2	
ACDC	2400	210	2	
ACDC	2400	211	2	
ACDC	2400	212	2	
ACDC	2400	213	2	
ACDC	2400	214	2	
ACDC	2400	215	2	
ACDC	2400	216	2	
ACDC	2400	218	2	80,91
ACDC	2400	218	2	161,82
ACDC	2400	219	2	
ACDC	2400	228	2	
ACDC	2400	229	2	
ACDC	2400	232	2	
ACDC	2400	233	2	
ACDC	2400	245	2	
ACDC	2400	246	2	
ACDC	2400	247	2	
ACDC	2400	250	2	
ACDC	2400	262	2	123,8032786885246
ACDC	2400	263	2	
ACDC	2400	265	2	
ACDC	2400	266	2	
ACDC	2400	280	2	71,34426229508198
ACDC	2400	281	2	100,72131147540983
ACDC	2400	281	2	37,77049180327869
ACDC	2400	282	2	
ACDC	2400	283	2	
ACDC	2400	284	2	
ACDC	2400	299	2	146,88524590163937
ACDC	2400	299	2	69,24590163934427
ACDC	2400	300	2	119,60655737704919
ACDC	2400	301	2	
